symbol,high,low,edge
FOXA,26.68,26.41,75635
PENN,32.71,31.78,16071
AXP,96.22,94.98,15679
CSX,68.28,67.82,9251
EXPE,83.6,82.17,8532
ABBV,96.91,96.01,2469
KLAC,193.2,191.27,2456
XLNX,92.55,91.71,2223
INTU,288.45,286.82,840
NSC,172.41,170.61,473
